### Material table data exported from WELSIM
### 2020-08-05 Wednesday 00:22                       
                       x                    y(x)                       
                       -                       -                       
             Independent               Dependent                       
                       1                       0.19344                       
                       1.5                     2.05124                       
                       2                       0.8005                       
                       2.5                     4.78881                       
                       3                       2.38268                       
                       3.5                     3.70147                       
                       4                       5.65325                       
                       4.5                     5.71434                       
                       5                       6.89482                       
                       5.5                     9.5293                       
                       6                       6.62465
                       6.5                     6.19677
                       7                       9.02735
                       7.5                     6.77763 
                       8                      10.51391
                       8.5                    10.75611
                       9                      10.71643
                       9.5                    12.98539
                       10                     12.15271
                       10.5                   12.44126
